Item,,Code,Description,หน่วย,QTY,ม้วนเต็ม,เศษ,QTY,ม้วน,เศษ,QTY,ม้วน,เศษ,Location,หมายเหตุ
23,สหแสงทอง,RM7070152003,ผ้า PVC HC สีเทา HC-005 หน้ากว้าง 1.13 ม. ม้วนละ 90 เมตร,เมตร,524.1,5,74.1,541.8,5,100.15,-17.7,0,-26.05,"WH2-D106,E105",(90x5)+74.1
24,สหแสงทอง,RM7070152004,ผ้า PVC HC สีเทาอ่อน HC-011 หน้ากว้าง 1.13 ม.,เมตร,260.65,2,80.65,243.01,2,63.69,17.64,0,16.96,"WH2-D105,E105",(90x2)+5.2+5+2
25,สหแสงทอง,RM7070152005,ผ้า PVC HC สีเหลืองมะนาว HC-012 หน้ากว้าง 1.13 ม.,เมตร,257.6,2,77.6,264.35,2,101.07,-6.75,0,-23.47,"WH2-D104,E105",(90x2)+57.4+15.2+5
26,สหแสงทอง,RM7070152006,ผ้า PVC HC สีแดง HC-016 หน้ากว้าง 1.13 ม.,เมตร,173.7,1,90,92,1,54.2,81.7,0,35.8,"WH2-D106,E105",(90x1)+20+20+50
27,สหแสงทอง,RM7070152007,ผ้า PVC HC สีเขียวขี้ม้า HC-019 หน้ากว้าง 1.13 ม.,เมตร,490.4,4,130.4,450.84,4,52.14,39.56,0,78.26,"WH2-D106,E105",(90x4)+65+57.4
28,สหแสงทอง,RM7070152008,ผ้า PVC HC สีฟ้าน้ำเงิน HC-041 หน้ากว้าง 1.13 ม.,เมตร,562.8,3,192.8,452.36,3,157,10.44,0,35.8,"WH2-D105,E105",(90x3)+62+55+57.1
29,สหแสงทอง,RM7070152009,ผ้า PVC HC สีชมพู HC-545 หน้ากว้าง 1.13 ม.,เมตร,167.4,1,77.4,170.4,1,80.4,-3,0,-3,WH2-E105,(90x1)+73.7+4
30,สหแสงทอง,RM7070152010,ผ้า PVC HC สีเขียวอ่อน HC-869 หน้ากว้าง 1.13 ม.,เมตร,1022,10,122,1004.25,10,104.2,17.75,0,17.8,"WH2-D104,P001,E105",(90x10)+47+75
31,สหแสงทอง,RM7070152011,ผ้า PVC HC สีฟ้าสว่าง HC-870 หน้ากว้าง 1.13 ม.,เมตร,405.4,4,45.4,401.5,4,53.23,3.9,0,-7.83,"WH2-D104,E105",(90x4)+39.4
32,สหแสงทอง,RM7070152012,ผ้า PVC HC สีม่วงอ่อน HC-298 หน้ากว้าง 1.08 ม.,เมตร,143.55,1,53.55,151.65,1,64.65,-8.1,0,-11.1,"WH2-D105,E105",(90x1)+53.55
