Item,,Code,Description,หน่วย,QTY,ม้วนเต็ม,เศษ,QTY,ม้วน,เศษ,QTY,ม้วน,เศษ,Location,หมายเหตุ
109,Sioen Asia Pacific,RM2061905004,ผ้า Solar max สีเทาอ่อน 7001 (Sioen B8064) (630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.,เมตร,176.5,2,46.5,183.44,2,56.14,-6.44,0,-9.64,"WH2-B201,B104",(65x2)+4.2+5+6.3+7+4+9+6+5
110,Sioen Asia Pacific,RM2061911002,ผ้า Sioen T0108FA/T0117FA(650g) สีขาว 9909 หน้ากว้าง 3.00 ม ยาว 100 ม.,เมตร,1061,9,161,998.39,9,81.69,62.62,0,79.31,"WH2-B102,B204",(100x9)+60+21+3+7+1.5+70
111,Sioen Asia Pacific,RM2062101003,ผ้า Sioen T1108/T1117F (725g) สีขาว 9909F หน้ากว้าง 3.00 ม ย.100 ม./,เมตร,722.25,7,22.25,821.1,7,118.3,-97.85,0,-96.05,WH2-B305,(100x7)+22.25
112,Dongguan Aluno,RM2062403001,ผ้าใบ Solar Zip A0-0505(Grey) 0% หน้ากว้าง 3.0 ม.ยาว 30 ม.,เมตร,67.9,2,7.1,71.9,2,11.9,-4,0,-4,WH2-B103,30+30+739
113,Dongguan Aluno,RM2062403002,ผ้าใบ Solar Zip A0-9900(Black) 0% หน้ากว้าง 3.0 ม.ยาว 30 ม.,เมตร,90,3,0,90,3,0,0,0,0,WH2-B103,30x3
114,Dongguan Aluno,RM2062403003,ผ้าใบ Solar Zip A1-9905(Black/Grey) 1% หน้ากว้าง 3.0 ม.ยาว 30 ม.,เมตร,81.26,2,21.26,81.26,2,21.26,0,0,0,WH2-B103,30x2+21.26
115,Dongguan Aluno,RM2062403004,ผ้าใบ Solar Zip A1-0100(White) 1% หน้ากว้าง 3.0 ม.ยาว 30 ม.,เมตร,84,2,24,84,2,24,0,0,0,WH2-B 103,30x2+24
116,Dongguan Aluno,RM2062403005,ผ้าใบ Solar Zip A1-0505(Grey) 1% หน้ากว้าง 3.0 ม.ยาว 30 ม.,เมตร,131.4,4,11.4,131.7,4,11.7,-0.3,0,-0.3,WH2-B 103,30x4+11.4
117,Dongguan Aluno,RM2062403006,ผ้าใบ Solar Zip A5-0100(White) 5% หน้ากว้าง 3.0 ม.ยาว 30 ม.,เมตร,30,1,0,30,1,0,0,0,0,WH2-C205,30
118,Dongguan Aluno,RM2062403007,ผ้าใบ Solar Zip A5-0102(White/Cream) 5% หน้ากว้าง 3.0 ม.ยาว 30 ม.,เมตร,28.2,0,0,30,1,0,-1.8,-1,-1.8,WH2-C205,28.2
119,Dongguan Aluno,RM2062403008,ผ้าใบ Solar Zip A5-2699(Black/Brown) 5% หน้ากว้าง 3.0 ม.ยาว 30 ม.,เมตร,30,1,0,30,1,0,0,0,0,WH2-C205,30
120,Dongguan Aluno,RM2062403009,ผ้าใบ Solar Zip A5-9900(Black) 5% หน้ากว้าง 3.0 ม.ยาว 30 ม.,เมตร,26.75,0,26.75,26.75,0,26.75,0,0,0,WH2-C205,26.75
121,Dongguan Aluno,RM2062403010,ผ้าใบ Solar Zip A5-9905(Black/Grey) 5% หน้ากว้าง 3.0 ม.ยาว 30 ม.,เมตร,22.3,0,22.3,22.6,0,22.6,-0.3,0,-0.3,WH2-C205,22.3
122,Dongguan Aluno,RM2062403011,ผ้าใบ Solar Zip A5-0105(White/Grey) 5% หน้ากว้าง 3.0 ม.ยาว 30 ม.,เมตร,27.15,0,27.05,25.95,0,25.95,1.1,0,1.1,WH2-C205,27.05
123,Dongguan Aluno,RM2062403012,ผ้าใบ Solar Zip A5-2600(Brown) 5% หน้ากว้าง 3.0 ม.ยาว 30 ม.,เมตร,30,1,0,30,1,0,0,0,0,WH2-C205,30
124,Dongguan Aluno,RM2062404001,ผ้าใบ Solar Zip A0-2600(Black Brown) 0% หน้ากว้าง 3.0 ม.ยาว 27 ม.,เมตร,27,1,0,34,1,0,-7,0,0,WH2-B103,27
125,Dongguan Aluno,RM2062404002,ผ้าใบ Solar Zip A5-4050(Black/Dark Grey) 5% หน้ากว้าง 3.0 ม.ยาว 30 ม.,เมตร,0,0,0,0,0,0,0,0,0,WH2,
126,Dongguan Aluno,RM2062411001,ผ้าใบ Solar Zip A0-0100 (white) 0% หน้ากว้าง 3.0 ม.ยาว 30 ม.,เมตร,90,3,0,90,3,0,0,0,0,"WH2-B103,C103",30x3
127,Dongguan Aluno,RM2062411002,ผ้าใบ Solar Zip A1-0680(beige) 1% หน้ากว้าง 2.5 ม.ยาว 30 ม.,เมตร,30,1,0,30,1,0,0,0,0,WH2-B103,
128,Achkles Hongkong,RM2061412001,ผ้า Vinistar Soft UV (PVC) สีส้ม 0.50 mm. หน้ากว้าง 1.37 ม. ยาว 20 เมตร,เมตร,9,0,9,14.7,0,14.7,-5.07,0,-5.7,"WH2-A201,E104",
129,Achkles Hongkong,RM7070412001,ผ้า Vinistar Super สีใส 0.75mm.x137cm.x30m./roll,เมตร,516.17,16,16.17,509.95,17,0.2,6.17,-1,15.9,"WH2-A105,E104",(30x16)+2.72+5.05+2+26.4
130,Achkles Hongkong,RM7070412002,ผ้า Vinistar Super สีใส 1.00mm.x137cm.x30m./roll,เมตร,672.2,22,12.2,672.2,22,12.32,0,0,0.12,"WH2-A104,E104",(30x22)+12.2
131,Achkles Hongkong,RM7070412003,ผ้า Vinistar Soft UV (PVC) สีชา 0.75 mm. หน้ากว้าง 1.37 ม.,เมตร,55.2,1,25.2,50.78,2,0,4.42,-1,25.28,"WH2-A201,E104",30+20+5.2
132,Achkles Hongkong,RM7070412004,ผ้า Vinistar Soft UV (PVC) สีชา 1.00 mm. หน้ากว้าง 1.37 ม./,เมตร,13.7,0,13.7,12.7,0,0,1,0,13.7,WH2-E104,13.7
133,Bros F&T,RM2061808001,ผ้าใบ PVC SOLAR VIEW สีน้ำตาล K-559 หนา 0.5 mm. หน้ากว้าง 1.50 ม.,เมตร,1500.6,29,50.55,1480.72,29,31.9,11.55,0,18.65,"WH2-B101,E103",
134,Sioen Industries,RM2061507006,ผ้า Solar max สีครีม 1623 (Sioen B8000)(630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.,เมตร,465.15,6,75.15,413.45,6,52.93,51.2,0,22.22,WH2-A103,(65x6)+57+1.85+2+2+4+5.3+3
135,Sioen Industries,RM2061507012,ผ้า Solar max สีบรอนซ์เงิน 7500 (Sioen B8000) (630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.,เมตร,196.93,2,66.93,195.55,2,39.94,1.38,0,26.99,"WH2-C102,A103",(65x2)+5+9.22+20
136,Sioen Industries,RM2061507014,ผ้า Solar max สีดำ 7999 (Sioen B8000)(630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.,เมตร,195,3,0,195,3,0,0,0,0,WH2-A103,(65x3)
137,Sioen Industries,RM2061507015,ผ้า Solar max สีขาว 9002 (Sioen B8000) (630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.,เมตร,1830.6,28,10.54,1846.92,27,97.32,-16.32,1,-86.78,WH2-A103,(65x27)+5.49+5.10
138,Sioen Industries,RM7070412004,ผ้า Vinistar Soft UV (PVC) สีชา 1.00 mm. หน้ากว้าง 1.37 ม./,เมตร,13.7,0,13.7,12.7,0,0,1,0,13.7,WH2-E104,13.7
139,Sioen Coated,RM2061909008,ผ้า Solar max สีครีม 1623 (Sioen B8064)(630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.,MTS,14,0,14,19.4,0,19.4,-5,0,-5,WH2-B303,14
140,Sioen Coated,RM2061501016,ผ้า Sioen B-6000 (900g) สีเทาแก่ 7244 หน้ากว้าง 3.00 ม,MTS,60,0,60,33,0,0,27,0,60,"WH2-C101,B204",20+20+20
141,Sioen Coated,RM2061501017,ผ้า Solar max สีเลือดหมู 3017 (Sioen B7119 ) (900g) หน้ากว้าง 2.50 ม,MTS,123.3,1,58.3,123.5,1,58.5,-0.2,0,-0.2,WH2-C101,(65x1)+58.3
142,Sioen Coated,RM2061507007,ผ้า Solar max สีหลือง 1025 (Sioen B8000)(630g) หน้ากว้าง 3.20 ม.,MTS,6.9,0,6.9,18.85,0,21.05,-11.95,0,-14.15,WH2-C101,6.9
143,Sioen Coated,RM2061507009,ผ้า Solar max สีน้ำเงิน 5001 (Sioen B8000)(630g) หน้ากว้าง 3.20 ม. ยาว 65 ม.,MTS,48.33,0,48.33,48.33,0,48.5,0,0,-0.17,WH2-C101,48.33
144,Sioen Coated,RM2061507011,ผ้า Solar max สีเทาเข้ม 7024 (Sioen B8000) (630g) หน้ากว้าง 2.50 ม. ย.65 ม.,MTS,487.85,6,97.85,475.95,6,84.75,11.9,0,6.75,"WH2-A304,C102",(65x6)+55+20+8+2+3.7+2.1+4.5+2.55
145,Sioen Coated,RM2061507013,ผ้า Solar max สีน้ำตาล 8020 (Sioen B8000) (630g) หน้ากว้าง 2.50 ม. ย.65 ม.,MTS,15.68,0,15.68,27.9,0,27.9,-12.22,0,-12.22,WH2-C102,15.68
146,Sioen Coated,RM2061510002,ผ้า Sioen B-6000 (900g) สีขาวมุก 9013 หน้ากว้าง 3.00 ม.,MTS,37,0,37,37,0,37,0,0,0,WH2-C102,37
147,Sioen Coated,RM2061511002,ผ้า Sioen B-6000/1622 หน้ากว้าง 3.00 ม.,MTS,53.2,0,53.2,53.3,0,37,0,0,16.2,WH2-B204,37+16.2
148,Sioen Coated,RM2061606003,ผ้า Solar max สีเหลือง 1025 (Sioen B8000) (630g) หน้ากว้าง 2.50 ม 65 m.,MTS,143.3,2,13.3,154.3,2,38.5,-11,0,-25.2,WH2-C101,(65x2)+(64.8x1)+5.8+3.87+1
149,Sioen Coated,RM2061606004,ผ้า Solar max สีน้ำเงิน 5001 (Sioen B8000)(630g) หน้ากว้าง 2.50 ม. ยาว 65 ม,MTS,65.25,0,65.25,65.25,0,97.7,0,0,-32.45,WH2-C101,
150,Sioen Coated,RM2061608001,ผ้า Solar max สีเขียว 6001 (Sioen B8000) (630g) หน้ากว้าง 3.20 ม ยาว 65 ม.,MTS,205.47,3,10.67,219.42,3,7.35,-13.93,0,3.32,WH2-C101,(65x2)+(64.8x1)+5.8+3.87+1
151,Sioen Coated,RM2061707002,ผ้า Sioen B-7465 (450g) สีขาว 9917 หน้ากว้าง 2.50 ม. ยาว 65.00 ม.,MTS,2766.3,43,81.3,2758.45,43,84.91,7.85,0,-3.61,"WH2-D306,C202,C205",(65x43)+81.3 (รวมเศษ / พี่ณี)
152,Sioen Coated,RM2061805005,ผ้า Sioen T2118FA (1050g) สีขาว 9909 หน้ากว้าง 3.00 ม/ย.100 ม.,MTS,705.7,5,205.7,707.6,5,170.8,-1.9,0,34.9,WH2-B104,(100x5)+รวมเศษ 207.7
153,Sioen Coated,RM2061807004,ผ้า Sioen E1224/3188 สีส้ม (1200g). หน้ากว้าง 2.50 ม.,MTS,,,,213.9,3,54.9,,,,WH2-B102,
154,Sioen Coated,RM2061810001,ผ้า Sioen T1108/T1117F (725g) สีขาว 9909 หน้ากว้าง 2.50 ม. ยาว100 ม.,MTS,10,0,10,9.5,0,0,0.5,0,10,WH2-B301,10
155,Sioen Coated,RM2061810003,ผ้า Solar max สีดำ 7999 (Sioen B8064)(630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.,MTS,88.5,0,88.5,51.4,0,64.05,37.1,0,24.45,WH2-B203,33.44+15.26+4.1+1.7+2+2+10+20
156,Sioen Coated,RM2061905002,ผ้า Solar max สีน้ำตาล 8020 (Sioen B8064) (630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.,MTS,76,1,11,57.93,1,31.03,18.07,0,-21.03,WH2-B205,
157,Sioen Coated,RM2061905003,ผ้า Solar max สีส้ม 3018 (Sioen B8064) (630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.,MTS,,,,130.83,2,5.83,,,,WH2-C101,
158,Sioen Coated,RM2062008001,ผ้า Sioen T0108F/T0117F(650g) สีขาว 9909F หน้ากว้าง 3.00 ม ยาว 100 ม.,MTS,176.06,1,76.6,163.8,0,125.18,12.26,1,-48.6,WH2-B102,(100x1)+76.6
159,Sioen Coated,RM2062101004,ผ้า Sioen T2118F (1050g) สีขาว 9909 หน้ากว้าง 3.00 ม/ย.100 ม.,MTS,600,6,0,647.7,6,116.7,-47.7,0,-116.7,"WH2-B201,B104",(100x6)
160,Sioen Coated,RM2062103003,ผ้า Sioen E1224/3188 สีส้ม (1200g). ขนาด 1.00x50 m. (18ม้วน),MTS,900,18,0,900,18,0,0,0,0,WH4-D501,(50x18)
161,Sioen Coated,RM2062103004,ผ้า Sioen E1224/3188 สีส้ม (1200g). ขนาด 1.45x20 m. (1 ม้วน),MTS,20,1,0,20,1,0,0,0,0,WH4-D501,(20x1)
162,Sioen Coated,RM2062207001,ผ้า Solar max สีส้ม 3018 (Sioen B6000) (1050g) หน้ากว้าง 3.00 ม. ยาว 60 ม.,MTS,132,2,12,157.1,2,76,-25,0,-25.1,WH2-B201,(60x2)+12
163,Sioen Coated,RM2062208001,ผ้า Solar max สีส้ม 3021 (Sioen B6000) (900g) หน้ากว้าง 3.00 ม. ยาว 58 ม.,MTS,1044,18,0,1044,18,0,0,0,0,WH2-B105,(58x18)
164,Sioen Coated,RM2062301002,ผ้า Solar max สีแดง 3001 (Sioen B8000) (630g)หน้ากว้าง 2.50 ม. ยาว 65 ม,MTS,111.45,1,46.45,118,1,53,-6.5,0,-6.55,WH2-C101,(65x1)+46.45
165,Sioen Coated,RM2062306003,ผ้า Solar max สีครีม 1623 (Sioen B8000)(630g) หน้ากว้าง 3.00 ม. ยาว 65 ม.,MTS,83.5,1,18.5,138.65,1,61.65,-55.2,0,-43.15,WH2-B305,(65x1)+5.3+10.3+2.9
166,Sioen Coated,RM2062312001,ผ้า Sioen B7182A (BLOCK OUT) สีขาว 9002 หน้ากว้าง 3.00 ม.,MTS,139.6,1,71.6,110.6,1,42.6,29.6,0,29.2,WH2-B305,(78x1)+24.4+12.2+35
167,Sioen Coated,RM7070209005,ผ้า Sioen B-6101 สีขาว 9002 หน้ากว้าง 2.50 ม.,MTS,55,1,0,55,1,0,0,0,0,WH2-B205,55
168,Sioen Coated,RM7070209006,ผ้า Sioen B-6000 (900g) สีขาว 9002 หน้ากว้าง 3.00 ม.,MTS,37,0,37,20,0,20,17,0,17,WH2-B205,37
169,Sioen Coated,RM7070209007,ผ้า Sioen B8288 (800g) สีขาว 9909 หน้ากว้าง 2.50 ม.,MTS,28.07,0,28.07,47.08,0,18.65,-19.01,0,9.42,WH2-C101,1.27+18+5.6+3.2
170,Sioen Coated,RM7070209008,ผ้า Sioen T-2107 (1050g) สีขาว 9909 หน้ากว้าง 2.50 ม.,MTS,43,0,43,9.17,0,9.17,33.83,0,33.83,WH2-C102,7+28+8
171,Sioen Coated,RM7070209009,ผ้า Sioen T-0107 (650g) สีขาว 9909 หน้ากว้าง 2.50 ม.,MTS,92.55,0,92.55,137.25,0,93.55,-44.75,0,-1,WH2-B303,2+12+10+23+10+2+35.55
172,Sioen Coated,RM7070209012,ผ้า Sioen B-7119 (900g) สีเหลือง 1001 หน้ากว้าง 3.20 ม.,MTS,60,0,60,60,0,60,0,0,0,WH2-C101,60
173,Sioen Coated,RM7071309001,ผ้า Sioen M-5550 (250g) สีขาว 9917 (ผ้าตาข่าย) หน้ากว้าง 3.20 ม. ยาว 50 เมตร,MTS,850,16,50,857.3,16,73.4,-7,0,-23.4,WH2-B103,(50x16)+36.2+3.8+10
174,Sioen Coated,RM7071309002,ผ้า Sioen B-7122 (580 g) สีครีม 9920 หน้ากว้าง 2.50 ม.,MTS,150,2,30,53.5,0,53.5,96.5,2,-23.5,"WH2-B204,C101",(60x2)+30
175,Sioen Coated,RM7071311003,ผ้า Sioen P-2354 สีขาว 9917 หน้ากว้าง 3.00 ม.,MTS,55,1,0,55,1,0,0,0,0,WH2-B205,55
176,ไทวา พลาสติก,RM2061512003,ผ้า PVC โปร่งแสง Solar View สีน้ำตาลใส 559 หน้ากว้าง 1.55 m. (แบบบาง),เมตร,0,0,0,47,0,0,0,0,-47,WH2-C203,
177,ไทวา พลาสติก,RM2061805001,ผ้า PVC โปร่งแสง Solar View สีโอรส หน้ากว้าง 1.50 m.,เมตร,40.7,0,40.7,46.84,0,45.53,-6.14,0,-4.83,WH2-E103,40.7
178,ไทวา พลาสติก,RM2061805002,ผ้า PVC โปร่งแสง Solar View สีเหลือง หน้ากว้าง 1.50 m.,เมตร,72.8,1,22.8,73.2,1,53.8,-0.4,0,-31,"WH2-A102,E103",22.8+50
179,ไทวา พลาสติก,RM2062303001,ผ้า PVC โปร่งแสง Solar View สีเทา 005 หนา 0.48mm /หน้ากว้าง 1.50 m. ยาว 50 เมตร/1 ม้วน,เมตร,1186.4,22,93.39,1164.7,22,97.24,21.69,0,-4,"WH2-A102,A205,E103",(50x20+43+50+4.9+10.65+2.64+1.95+2.15+3.6+3+14+12+9.2+8.7+3.9+4.85+2.55+9.3
180,ไทวา พลาสติก,RM7070350002,ผ้า PVC โปร่งแสง Solar View สีขาวใส 101 หนา 0.48mm /หน้ากว้าง 1.50 m. ยาว 50 เมตร/1 ม้วน,เมตร,638.5,5,91.4,384.5,5,111.01,254,0,-19.61,"WH2-A102, E103",48+49+57+(50x2)+12.2+3+3.4+16.3+11.1+2.4+7.3+4.5+2+21+4.45+3.75
181,ไทวา พลาสติก,RM7070350003,ผ้า PVC โปร่งแสง Solar View สีน้ำตาลใส 559 หน้ากว้าง 1.50 m.,เมตร,30.1,0,30.1,30.1,0,50.54,0,0,-20.44,WH2-E103,30.1
182,ไทวา พลาสติก,RM7070350005,ผ้า PVC โปร่งแสง Solar View สีเขียวมรกต 752 หน้ากว้าง 1.50 m.(หมดแล้วหมดเลย),เมตร,336.39,6,21.39,341.26,6,45.54,-4.87,0,-24.15,"WH2-A102,E103",(50x5)+65+21.39
183,โบตาด,RM2061408002,ผ้า Solar Screen สี White/ Dark Ivory N-017 หน้ากว้าง 2.50 ม 5%,เมตร,,,,18.75,0,0,,,,WH2-C105,
184,โบตาด,RM2061408003,ผ้า Solar Screen สี Brown/Brown N-4545 หน้ากว้าง 2.50 ม 5%,เมตร,465.7,14,43.7,531.93,15,74.92,-66.23,-1,-31.22,WH2-B304,(30x13)+32+24.3+17.1+2.3
185,โบตาด,RM2061912001,ผ้า Solar Screen สี White - Grey N-003 หน้ากว้าง 3.00 ม 5%,เมตร,315,11,0,315,11,0,0,0,0,WH2-C301,(30x8)+(25x3)
186,โบตาด,RM2062211003,ผ้า Solar Screen สี White - Grey DN-003 หน้ากว้าง 2.50 ม 3%,เมตร,45,1,15,60,2,25.86,-15,-1,-10.86,"WH2-C101,B302",30+15
187,โบตาด,RM2062312002,ผ้า Solar Screen สี White - Beige DN-002 หน้ากว้าง 2.50 ม 3%,เมตร,48,1,18,382.1,0,5.9,-334.1,-1,12.1,WH2-B302,30+18
188,โบตาด,RM2062312003,ผ้า Solar Screen สี White - White DN-001 หน้ากว้าง 2.50 ม 3%,เมตร,1010.4,33,24.4,1014.4,33,33.4,-4,0,-9,WH2-B302,(30x28)+(27x2)+(32x2)+28+3.4+4+17
189,โบตาด,RM2062410001,ผ้า Solar Screen สี Grey - Grey N-301 หน้ากว้าง 3.00 ม. 5%,เมตร,247,9,-,293.6,9,15.6,-46.6,0,-15.6,WH2-301,(30x6)(33x2)+22.9
190,โบตาด,RM2062410002,ผ้า Solar Screen สี Brown/Brown N-4545 หน้ากว้าง 3.00 ม. 5%,เมตร,296.9,9,22.9,301,9,27,-4.1,0,-4.1,WH2-B203,(30x7)+(30x2)+22.9
191,โบตาด,RM7070662001,ผ้า Solar Screen สี White - White N-001 หน้ากว้าง 2.50 ม 5%,เมตร,40.85,0,40.85,61.24,0,61.24,-20.39,0,-20.39,WH2-C105,15.9+4+2.9+4.15+3.4+4+4+2.5
192,โบตาด,RM7070662002,ผ้า Solar Screen สี White - Beige N-002 หน้ากว้าง 2.50 ม 5%,เมตร,52.23,0,52.23,70.87,0,70.87,-18.64,0,-18.64,WH2-C105,4+19.9+4.19+2.14+4.8+2.2+6+5+2+2
193,โบตาด,RM7070662004,ผ้า Solar Screen สี White - Grey N-003 หน้ากว้าง 2.50 ม 5%,เมตร,31.7,0,31.7,49.19,0,43.59,-17.49,0,-11.89,"WH2,B304",4.3+2.7+2.3+2.4+15.6+1+3.4
194,โบตาด,RM7070662005,ผ้า Solar Screen สี Beige - Beige N-201 หน้ากว้าง 2.50 ม. 5%,เมตร,30,1,0,114.8,2,20.1,-84.8,-1,-20.1,"WH2-C201,C105",30
195,โบตาด,RM7070662006,ผ้า Solar Screen สี Grey - Grey N-301 หน้ากว้าง 2.50 ม. 5%,เมตร,185,6,9,184.25,6,11.6,0.75,0,-2.6,WH2-C201,(30x5)+26+4.7+4.3
196,โบตาด,RM7070662007,ผ้า Solar Screen สี Black-Black N-901 หน้ากว้าง 2.50 ม. 5%,เมตร,135.15,3,45.1,245.2,4,56.68,-110.05,-1,-11.58,WH2-C201,(30x3)+3+26+308+12.35
197,Haining Keder,RM2021801002,KEDER Size 12mm. White fabric (1box/200MTS),MTS,200,2,0,200,2,0,0,0,0,WH2-A101,(100x2)
198,Haining Keder,RM2021802001,"KEDER Size 10mm./Dia around 11.3mm. Acrylic costed fabric with white , vintl coated",MTS,775,4,0,775,4,0,0,0,0,WH2-A101,รวม775/พีณี
199,Kecker marketing,RM2062208002,ผ้า Acrylic Sauleda สี Gris เทาอ่อน (SR 8271) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,MTS,22.8,0,22.8,39.45,0,4.9,-16.65,0,17.9,WH2-D102,17.4+3.6+1.8
200,Kecker marketing,RM2062208003,ผ้า Acrylic Sauleda สี Antracita เทาเข้ม(SR 1552) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,MTS,0,0,0,42.48,0,42.48,-42.48,0,-42.48,WH2-D102,
201,Kecker marketing,RM2062208004,ผ้า Acrylic Sauleda สี Blanco สีขาว (SR 8268) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,MTS,0,0,0,10.3,0,10.3,-10.3,0,-10.3,WH2-D102,
202,Phifer Technical,RM2062310001,Suntex 90 Design Wheat Colors หนา 0.991 mm./ก. 2.44 ม.ย. 30.48 ม.(5332),MTS,213.36,7,0,232.24,7,18.4,-18.6,0,-18.4,WH2-B203,(30.48x7)
203,Phifer Technical,RM2062310002,Suntex 90 Design Toast Colors หนา 0.991 mm./ ก. 2.44 ม.ย. 30.48 ม.(5333),MTS,6.35,0,0,16.17,0,16.17,-9.82,0,-9.82,WH2-B203,3.40+1.6+1.31
204,Phifer Technical,RM2062310003,Suntex 90 Design Toffee Colors หนา 0.991 mm./ ก. 2.44 ม.ย.30.48 ม.(5336),MTS,213.36,7,0,227.54,7,13.7,-14.18,0,-13.7,WH2-B203,(30.48x7)
205,Sauleda,RM2061411001,Multitex Granate Ral 3005 Wine Red Colour ( หมดแล้วหมดเลย),MTS,47,0,47,47,0,47,0,0,0,WH2-C203,
206,Sauleda,RM2061411002,Multitex Gris Oscuro Ral 7037 Dusty Grey Color,MTS,0,0,0,0,0,0,0,0,0,WH2-C203,
207,Sauleda,RM2062208005,ผ้า Acrylic Sauleda สีน้ำตาล Apricot (1480) หน้ากว้าง 1.20 ม. ยาว 60 เมตร(หมดแล้วหมดเลย),MTS,150.9,2,29.9,150.9,2,29.9,0,0,0,WH2-D101,(60x2)+28.8+1.1
208,Sauleda,RM2062208006,ผ้า Acrylic Sauleda สีช็อคโกแลต Chocolat (1481) หน้ากว้าง 1.20 ม. ยาว 60 เมตร( หมดแล้วหมดเลย),MTS,565.6,9,25.65,612.25,8,46.35,-46.7,1,-20.7,WH2-D101,(60x9)+3.45+2.95+2.45+0.6+1.05+1.9+3.8+4.1+2.75+2.6
209,Sauleda,RM2062208007,ผ้า Acrylic Sauleda สีเหลือง Amarillo (2013) หน้ากว้าง 1.20 ม. ยาว 60 เมตร( หมดแล้วหมดเลย),MTS,180,3,0,208.85,3,28.85,28.9,0,-28.85,WH2-D102,(60x3)
210,Sauleda,RM2062208009,ผ้า Acrylic Sauleda สีขาว Blanco (2042) หน้ากว้าง 1.20 ม. ยาว 60 เมตร( หมดแล้วหมดเลย ),MTS,345.04,5,45.04,396.06,5,96.86,-51.06,0,-51.82,WH2-D102,(60x5)+7.35+2.09+0.9+15+3.4+14.5+2.86+2.05+1.94
211,Sauleda,RM2062208010,ผ้า Acrylic Sauleda สีแดง Brasserie (2209) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,MTS,201,3,0,210.25,3,9.25,-9.1,3,-9.25,WH2-D102,(81x1)(60x2)
212,Sauleda,RM2062208011,ผ้า Acrylic Sauleda สีเทาเข้ม Basalto (2327) หน้ากว้าง 1.20 ม. ยาว 60 เมตร( หมดแล้วหมดเลย),MTS,37.33,0,37.33,43.45,0,0,6.12,0,37.33,WH2-D202,2+1.8+2.4+1.38+6+6+5.6+5.8+6.35
213,Sauleda,RM2062208012,ผ้า Acrylic Sauleda สีเทาอ่อน Perla (2979) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,MTS,1423.2,23,43.2,1449.7,23,67.75,-26.8,0,-24.55,"WH2-D102,D201,A301",(60x23)+4.3+3.73+4.6+4.3+4.1+4.25+4.05+2.05+3.42+4.4+4
214,Sauleda,RM2062208013,ผ้า Acrylic Sauleda สีน้ำตาลลาย Tweed Avena (3580) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,MTS,587.92,9,47.92,638.83,9,49.03,-50.88,0,-2.96,"WH2-C205,D101",(60x9)3.3+8+7.65+2.7+1.45+2.05+2.3+8+3+2.6+2.5+2.95+0.6+2.95+4
215,Sauleda,RM2062208014,ผ้า Acrylic Sauleda สีเทาลาย Tweed Gris Claro (3581) หน้ากว้าง 1.20 ม. ยาว 60 เมตร(หมดแล้วหมดเลย),MTS,67.85,0,67.85,65.73,0,97.38,2.12,0,-29.53,WH2-D101,รวมเศษ 67.85/พี่ณี
216,Sauleda,RM2062212003,ผ้า Acrylic Sauleda สี RAIN (1073) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,MTS,178.6,2,58.6,180.45,2,60.45,-1.9,0,-1.85,WH2-D202,(60x2)+50.7+3.25+1.7+2.95
217,Sauleda,RM2062212004,ผ้า Acrylic Sauleda สี JALISCO (1484) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,MTS,79.45,0,79.45,98.2,0,57.86,18.75,0,21.59,WH2-D202,42.4+37.05
218,Sauleda,RM2062212005,ผ้า Acrylic Sauleda สี FRESH (2097) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,MTS,244.9,4,4.9,278.8,4,38.8,33.9,0,-29,WH2-D202,(60x4)+4.9
219,Sauleda,RM2062212006,ผ้า Acrylic Sauleda สี TURKIS (2129) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,MTS,258.7,4,18.7,258.7,4,18.7,0,0,0,WH2-D202,(60x4)+10+8.34
220,Sauleda,RM2062212007,ผ้า Acrylic Sauleda สี WASHINGTON (2805) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,MTS,18.12,0,18.12,30.4,0,30.4,-12.28,0,-12.28,WH2-D202,7.37+10.75
221,Sauleda,RM2062212008,ผ้า Acrylic Sauleda สี LONDRES (2822) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,MTS,37.3,0,37.3,42.3,0,42.46,-5,0,-5.16,WH2-D202,6.6+29.6+1.5
222,Sauleda,RM2062212009,ผ้า Acrylic Sauleda สี COLONIA (2964) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,MTS,83.5,0,83.5,84.8,0,87.3,-1.3,0,-3.8,WH2-D202,51.5+32
