sku,description,default_length,default_grade
RM2062112002,Commercial Heavy 430gsm. / 3.00x40M Steel Grey 484408,138.0,-
RM2062112003,Commercial DualShade 350gsm./ 3.00x40M Savanna 492724,272.95,-
RM2062112004,Commercial DualShade 350gsm. / 3.00x40M Cobblestone 491178,0.0,-
RM2062201001,Commercial 95 CHARCOAL # 444969 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),-1.0,-
RM2062201002,ผ้า SUNSCREEN 5% A-4007 สีขาว/สีดำ ขนาด 2.50 x 8.50 ม./ 21.25 ตร.ม.,-1.0,-
RM2062202001,"ผ้า Ferrari 912-8861S2 สีครีมไข่ไก่ หน้ากว้าง 2.67 ม./ ยาว 15 เมตร, 16 เมตร ( K.เฟรด)",15.7,-
RM2062202002,ผ้า Ferrari 6002-20329 สีเบจ หน้ากว้าง 2.60 m/50 m.,-1.0,-
RM2062202003,LONA MASACRIL SOLIDS 1069 OPTIK 120 cm. / สีขาว,-1.0,-
RM2062202004,ผ้าอะคริลิค RECACRIL R-171 TURQUESA หน้ากว้าง 1.20 ม,-1.0,-
RM2062204001,ผ้าอะคริลิค #2422 สีกาแฟ หน้ากว้าง 1.20 ม.,-1.0,-
RM2062204002,ผ้าอะคริลิค #2434 กาแฟ หน้ากว้าง 153 ม.,0.0,-
RM2062204003,ผ้า Ferrari 381-3127 หน้ากว้าง 2.67 ม.,-1.0,-
RM2062204005,ผ้า Ferrari 402-8274R (RED / WHITE)หน้ากว้าง 1.80 ม./ย.50 ม.,-1.0,-
RM2062204006,Docril Plus Acrylic Fabric # Cafe 005 หน้ากว้าง 1.20 ม. ย.60 เมตร (กันน้ำ),-1.0,-
RM2062204007,LONA MASACRIL SOLIDS 3588 OPTIK หน้ากว้าง 1.53 m. ผ้าแข็ง,-1.0,-
RM2062204008,ผ้า Solar Screen สี White - Beige หน้ากว้าง 2.50 ม 1% / JV2204086,-1.0,-
RM2062204009,ผ้า Acrylic สีกาแฟ 005 หน้ากว้าง 1.53 ม.,-1.0,-
RM2062205001,ผ้า SUNSCREEN 5% สี Grey/Black (SC-A1-510) หน้ากว้าง 2.50 เมตร ยาว 30 เมตร/ม้วน,150.0,-
RM2062206001,ผ้า Acrylic สีน้ำตาลลาย 113 หน้ากว้าง 1.53 ม.,11.75,-
RM2062206002,ผ้า Acrylic สีเทาเข้ม 098 หน้ากว้าง 1.33 ม.(98*3),-1.0,-
RM2062206003,Sunbrella SEASONS 1020 LINEN 150 cm.,-1.0,-
RM2062207001,ผ้า Solar max สีส้ม 3018 (Sioen B6000) (900g) หน้ากว้าง 3.00 ม. ยาว 60 ม.,132.0,-
RM2062207002,ผ้า Ferrari 381-3123 SAND BEIGE หน้ากว้าง 2.67 ม.,0.0,-
RM2062207003,ผ้า Ferrari 702-8604S2 สีขาว หน้ากว้าง 2.67 ม.,113.0,-
RM2062207004,ผ้า Ferrari 502-8604S2 สีขาว หน้ากว้าง 2.67 ม.,151.0,-
RM2062208001,ผ้า Solar max สีส้ม 3021 (Sioen B6000) (900g) หน้ากว้าง 3.00 ม. ยาว 58 ม.,1044.0,-
RM2062208002,ผ้า Acrylic Sauleda สี Gris เทาอ่อน (SR 8271) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,22.8,-
RM2062208003,ผ้า Acrylic Sauleda สี Antracita เทาเข้ม(SR 1552) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,0.0,-
RM2062208004,ผ้า Acrylic Sauleda สี Blanco สีขาว (SR 8268) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,0.0,-
RM2062208005,ผ้า Acrylic Sauleda สีน้ำตาล Apricot (1480) หน้ากว้าง 1.20 ม. ยาว 60 เมตร(หมดแล้วหมดเลย),150.9,-
RM2062208006,ผ้า Acrylic Sauleda สีช็อคโกแลต Chocolat (1481) หน้ากว้าง 1.20 ม. ยาว 60 เมตร( หมดแล้วหมดเลย),565.6,-
RM2062208007,ผ้า Acrylic Sauleda สีเหลือง Amarillo (2013) หน้ากว้าง 1.20 ม. ยาว 60 เมตร( หมดแล้วหมดเลย),180.0,-
RM2062208008,ผ้า Acrylic Sauleda สีกากี Beige (2038) หน้ากว้าง 1.20 ม.,-1.0,-
RM2062208009,ผ้า Acrylic Sauleda สีขาว Blanco (2042) หน้ากว้าง 1.20 ม. ยาว 60 เมตร( หมดแล้วหมดเลย ),345.04,-
RM2062208010,ผ้า Acrylic Sauleda สีแดง Brasserie (2209) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,201.0,-
RM2062208011,ผ้า Acrylic Sauleda สีเทาเข้ม Basalto (2327) หน้ากว้าง 1.20 ม. ยาว 60 เมตร( หมดแล้วหมดเลย),37.33,-
RM2062208012,ผ้า Acrylic Sauleda สีเทาอ่อน Perla (2979) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,1423.2,-
RM2062208013,ผ้า Acrylic Sauleda สีน้ำตาลลาย Tweed Avena (3580) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,587.92,-
RM2062208014,ผ้า Acrylic Sauleda สีเทาลาย Tweed Gris Claro (3581) หน้ากว้าง 1.20 ม. ยาว 60 เมตร(หมดแล้วหมดเลย),67.85,-
RM2062209001,ผ้า Acrylic สีขาวสลับสีดำ 014 FR หน้ากว้าง 1.20 ม.,170.7,-
RM2062211001,ผ้า Solar Screen GREY W.3.00M,-1.0,-
RM2062211002,LONA MASACRIL SOLIDS 1066 LOGO RED 120 cm. / สีแดง,-1.0,-
RM2062211003,ผ้า Solar Screen สี White - Grey DN-003 หน้ากว้าง 2.50 ม 3%(หมดแล้วหมดเลย),45.0,-
RM2062211004,ผ้าอะคริลิค RECACRIL R-177 BURDEOS/BURGUNDY หน้ากว้าง 1.50 ม /ผ้าแข็ง,-1.0,-
RM2062211005,G325 Shade Cloth - of White 3m x 50m /สีครีมงาช้าง 499884,425.0,-
RM2062211006,Commercial 95 BRIGHT GREEN สีเขียวสด # 459208 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),39.7,-
RM2062211007,ผ้าอะคริลิค RECACRIL 102 VERDE MUSGO FOREST GREEN หน้ากว้าง 1.20 ม,-1.0,-
RM2062211008,ผ้าอะคริลิค RECACRIL 102 VERDE MUSGO FOREST GREEN หน้ากว้าง 1.53 ม,-1.0,-
RM2062212001,ผ้า Ferrari 502-2135C สีเบจ หน้ากว้าง 1.80 ม. (40 เมตร),400.67,-
RM2062212002,ผ้า SUNSCREEN 3% RR-82 สีน้ำตาล ก. 3.00 ม. ยาว 30 ม.(หมดแล้วหมดเลย),9.19,-
RM2062212003,ผ้า Acrylic Sauleda สี RAIN (1073) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,178.6,-
RM2062212004,ผ้า Acrylic Sauleda สี JALISCO (1484) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,79.45,-
RM2062212005,ผ้า Acrylic Sauleda สี FRESH (2097) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,244.9,-
RM2062212006,ผ้า Acrylic Sauleda สี TURKIS (2129) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,258.7,-
RM2062212007,ผ้า Acrylic Sauleda สี WASHINGTON (2805) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,18.12,-
RM2062212008,ผ้า Acrylic Sauleda สี LONDRES (2822) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,37.3,-
RM2062212009,ผ้า Acrylic Sauleda สี COLONIA (2964) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,83.5,-
RM2062212010,ผ้า Acrylic Sauleda สี TWEED NEGRO (3582) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,18.82,-
RM2062301001,Commercial DualShade 350gsm./ 3.00x40M FR Cobblestone 496005,109.2,-
RM2062301002,ผ้า Solar max สีแดง 3001 (Sioen B8000) (630g)หน้ากว้าง 2.50 ม. ยาว 65 ม,111.45,-
RM2062302001,G325 Shade Cloth - Grey 3m x 50m /สีเทา 499853,319.15,-
RM2062302002,G325 Shade Cloth - Drk Green 3m x 50m /สีเขียวเข้ม 499860,-1.0,-
RM2062302003,G325 Shade Cloth - Tan 3m x 50m / แทน 499877,-1.0,-
RM2062302004,G325 Shade Cloth - Brown 3m x 50m / สีน้ำตาล 499907,-1.0,-
RM2062302005,G325 Shade Cloth - Bright Blue 3m x 50m / สีฟ้าสด 499891,-1.0,-
RM2062302006,ผ้า SUNSCREEN 5% สี Grey/Grey (SC-A1-506) หน้ากว้าง 3.00 เมตร ยาว 30 เมตร/ม้วน (หมดแล้วหมดเลย),21.7,-
RM2062302007,ผ้า Acrylic Sauleda สี TEJA (2065) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,109.5,-
RM2062302008,ผ้า Acrylic Sauleda สีดำ NEGRO (2170) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,318.66,-
RM2062303001,ผ้า PVC โปร่งแสง Solar View สีเทา 005 หนา 0.48mm /หน้ากว้าง 1.50 m. ยาว 50 เมตร/1 ม้วน,1186.4,-
RM2062303002,ผ้า Acrylic Sauleda สี GRANATE (2101) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,374.2,-
RM2062303003,ผ้า Acrylic Sauleda สี MARINO (2145) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,44.6,-
RM2062306001,Sunbrella Acrylic 6079-0000 OCEAN BLUE (สีฟ้าน้ำทะเล) หน้ากว้าง 1.52 ม.,0.0,-
RM2062306002,ผ้า SUNSCREEN 5% สี Brown/Black (SC-A1-508) หน้ากว้าง 2.50 เมตร ยาว 30 เมตร/ม้วน,270.85,-
RM2062306003,ผ้า Solar max สีครีม 1623 (Sioen B8000)(630g) หน้ากว้าง 3.00 ม. ยาว 65 ม.,83.5,-
RM2062307001,ผ้า Acrylic สีฟ้าเข้ม 682 หน้ากว้าง 1.20 ม.,120.0,-
RM2062307002,ผ้า Acrylic Sauleda สีเทาอ่อน (8488) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,-1.0,-
RM2062307003,ผ้า Acrylic Sauleda สี BOTELLA (2245) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,-1.0,-
RM2062307004,ผ้า Ferrari 371-7900 สีขาว หน้ากว้าง 2.67 ม. ยาว 50 เมตร,19.8,-
RM2062309001,"ผ้า Ferrari 432-8274 สีแดง-ขาว หน้ากว้าง 1.78 ม. ยาว 40,37,30,20,17 เมตร",56.6,-
RM2062310001,Suntex 90 Design Wheat Colors หนา 0.991 mm./ก. 2.44 ม.ย. 30.48 ม.(5332),213.36,-
RM2062310002,Suntex 90 Design Toast Colors หนา 0.991 mm./ ก. 2.44 ม.ย. 30.48 ม.(5333),6.35,-
RM2062310003,Suntex 90 Design Toffee Colors หนา 0.991 mm./ ก. 2.44 ม.ย.30.48 ม.(5336),213.36,-
RM2062311001,ผ้า Solar Sand สีกากี Khaki K068 W 2.04 m.x 100 m./R.,1245.6,-
RM2062312001,ผ้า Sioen B7182A (BLOCK OUT) สีขาว 9002 หน้ากว้าง 3.00 ม.,139.6,-
RM2062312002,ผ้า Solar Screen สี White - Beige DN-002 หน้ากว้าง 2.50 ม 3%(หมดแล้วหมดเลย),48.0,-
RM2062312003,ผ้า Solar Screen สี White - White DN-001 หน้ากว้าง 2.50 ม 3%(หมดแล้วหมดเลย),1010.4,-
RM2062403001,ผ้าใบ Solar Zip A0-0505(Grey) 0% หน้ากว้าง 3.0 ม.ยาว 30 ม.,67.9,-
RM2062403002,ผ้าใบ Solar Zip A0-9900(Black) 0% หน้ากว้าง 3.0 ม.ยาว 30 ม.,90.0,-
RM2062403003,ผ้าใบ Solar Zip A1-9905(Black/Grey) 1% หน้ากว้าง 3.0 ม.ยาว 30 ม.,81.26,-
RM2062403004,ผ้าใบ Solar Zip A1-0100(White) 1% หน้ากว้าง 3.0 ม.ยาว 30 ม.,84.0,-
RM2062403005,ผ้าใบ Solar Zip A1-0505(Grey) 1% หน้ากว้าง 3.0 ม.ยาว 30 ม.,131.4,-
RM2062403006,ผ้าใบ Solar Zip A5-0100(White) 5% หน้ากว้าง 3.0 ม.ยาว 30 ม.,30.0,-
RM2062403007,ผ้าใบ Solar Zip A5-0102(White/Cream) 5% หน้ากว้าง 3.0 ม.ยาว 30 ม.,28.2,-
RM2062403008,ผ้าใบ Solar Zip A5-2699(Black/Brown) 5% หน้ากว้าง 3.0 ม.ยาว 30 ม.,30.0,-
RM2062403009,ผ้าใบ Solar Zip A5-9900(Black) 5% หน้ากว้าง 3.0 ม.ยาว 30 ม.,26.75,-
RM2062403010,ผ้าใบ Solar Zip A5-9905(Black/Grey) 5% หน้ากว้าง 3.0 ม.ยาว 30 ม.,22.3,-
RM2062403011,ผ้าใบ Solar Zip A5-0105(White/Grey) 5% หน้ากว้าง 3.0 ม.ยาว 30 ม.,27.15,-
RM2062403012,ผ้าใบ Solar Zip A5-2600(Brown) 5% หน้ากว้าง 3.0 ม.ยาว 30 ม.,30.0,-
RM2062403013,ผ้าDUO สีเขียวตอง#65 รุ่นสองหน้า Green/Grey หนา 30 มิล กว้าง 2.05 เมตร.ยาว 45 ม./ม้วน,45.0,-
RM2062403014,ผ้าDUO สีเขียว#674 หนา 30 มิล กว้าง 2.05 เมตร ยาว 45 เมตร/ม้วน,45.0,-
RM2062404001,ผ้าใบ Solar Zip A0-2600(Black Brown) 0% หน้ากว้าง 3.0 ม.ยาว 27/30 ม.,27.0,-
RM2062404002,ผ้าใบ Solar Zip A5-4050(Black/Dark Grey) 5% หน้ากว้าง 3.0 ม.ยาว 30 ม.,0.0,-
RM2062406002,ผ้า SUNSCREEN 5% สี Grey/Black (SC-A1-510) หน้ากว้าง 3 เมตร ยาว 30 เมตร/ม้วน,332.35,-
RM2062406003,"Sunbrella Acrylic 6020-0000 BEIGE 100% Sunbrella Acrylic 60""หน้ากว้าง 1.52 ม.",0.0,-
RM2062407001,Commercial 95 SKY BLUE # 445034 หน้ากว้าง 3.00ม. (40 ม./ม้วน),-1.0,-
RM2062407002,Commercial 95 Driftwood 502294 หน้ากว้าง 3.00ม. (40 ม./ม้วน),-1.0,-
RM2062407003,ผ้า Acrylic 01268 บล็อควอลนัท หน้ากว้าง 1.20 ม.,-1.0,-
RM2062407004,ผ้า Acrylic 00634 มินิมอล สโตน แบล็ค 1.20ม.,-1.0,-
RM2062407005,ผ้า Acrylic 00172 มินิมอล ชาร์โคล 1.20ม.,-1.0,-
RM2062407006,ผ้า Acrylic 00165 มินิมอล มัด ซูเอด 1.20ม.,-1.0,-
RM2062407007,ผ้า Acrylic 01294 เอสเซนเชี่ยล เยลโล่ บิสกิต 1.20ม,-1.0,-
RM2062407008,ผ้า Acrylic 00167 แฟนซี ฟอเรสทต์ ไวท์ 1.20ม.,-1.0,-
RM2062408001,ผ้า Acrylic 00512 สลิม เอ๊กน็อค ซูเอด 1.20ม.,-1.0,-
RM2062408002,ผ้า Acrylic 01262 เท็กซเจอร์ วอลนัท 1.20ม.,1.0,-
RM2062408003,ผ้า Acrylic 00105 เท็กซเจอร์ กราโนล่า 1.20ม.,1.0,-
RM2062408004,ผ้า Acrylic 00231 ซอฟท์โบน 1.20ม.,1.0,-
RM2062408005,ผ้า Acrylic 00228 ซอฟท์ ซูเอด บราวน์ 1.20ม.,1.0,-
RM2062410001,ผ้า Solar Screen สี Grey - Grey N-301 หน้ากว้าง 3.00 ม. 5%,247.0,-
RM2062410002,ผ้า Solar Screen สี Brown/Brown N-4545 หน้ากว้าง 3.00 ม. 5%,296.9,-
RM2062411001,ผ้าใบ Solar Zip A0-0100 (white) 0% หน้ากว้าง 3.0 ม.ยาว 30 ม.,90.0,-
RM2062411002,ผ้าใบ Solar Zip A1-0680(beige) 1% หน้ากว้าง 2.5 ม.ยาว 30 ม.,30.0,-
RM2062411003,"Sunbrella Acrylic 4876-0000 MANHATTAN FOG 46""หน้ากว้าง 1.17 ม.",91.45,-
RM2062412001,ผ้า Solar Screen Grey หน้ากว้าง 3.00 cm,-1.0,-
RM2062412002,ผ้า SUNSCREEN 5% สี Brown/Black (SC-A1-508) หน้ากว้าง 3.00 เมตร ยาว 30 เมตร/ม้วน,150.0,-
RM2062501001,FLEXLIGHT CLASSIC 602 - CHAMPAGNE 8341 กว้าง 2.67ม ยาว 50ม,-1.0,-
RM2062501002,ผ้า PVC HY ขาว กว้าง 2.5ม ยาว 50ม,10846.0,-
RM2062502001,SIOEN PVC MESH STRUCTURA 230 S/7509/300(680g) Silver Grey Width 3m L 65m,-1.0,-
RM2062505001,ผ้าใบ Solar Zip A1-0680(beige) 1% หน้ากว้าง 3.0 ม.ยาว 27/30 ม.,-1.0,-
RM2062506001,ผ้า Acrylic Sauleda MASACRIL SOLIDS (2102) GRIS หน้ากว้าง 1.20 ม. ยาว 60 เมตร,-1.0,-
RM2062506002,ผ้า Solar max สีบรอนซ์เงิน 7500 (Sioen B8000) (630g) หน้ากว้าง 3.00 ม. ยาว 65 ม.,-1.0,-
RM2062507001,ผ้า Solar Screen สี Beige - Beige N-201 หน้ากว้าง 3.00 ม. 5%,-1.0,-
RM2062507002,ผ้า Solar Screen สี White - Beige N-002 หน้ากว้าง 3.00 ม 5%,-1.0,-
RM2062507003,ผ้า SUNSCREEN 5% สี Beige/White (40N003) หน้ากว้าง 3.00 เมตร ยาว 30 เมตร/ม้วน,-1.0,-
RM2062507004,ผ้า Solar max สีเหลือง 1001 (Sioen B8000) (630g) หน้ากว้าง 2.50 ม 65 m.,-1.0,-
RM2062507005,ผ้า Acrylic สีดำ 680 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062507006,ผ้า Acrylic สีช็อคโกแลต 005 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062507007,ผ้า Acrylic สีCAFE 80536 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062507008,ผ้า Acrylic สีขาวลาย 80563 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062507009,ผ้า Acrylic สีเขียวเฟิร์น 80549 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062507010,ผ้า Acrylic สีเบจลายเทา SUPERNOVA 80585 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062508001,ผ้าใบ Zip ไฟเบอร์กลาส BESTEX 1% GA4213BN (ดำ) หน้ากว้าง 3.0 ม.ยาว 30 ม.,-1.0,-
RM2062508002,ผ้าใบ Zip ไฟเบอร์กลาส BESTEX 1% Y4216BN (ดำ) หน้ากว้าง 3.0 ม.ยาว 30 ม.,-1.0,-
RM2062509001,ผ้า Solar max สีเขียว 6001 (Sioen B8000) (630g) หน้ากว้าง 2.50 ม ยาว 65 ม.,-1.0,-
RM2062509002,เทปกาวเชื่อมร้อนสำหรับผ้าอะคริลิค กว้าง 18 มม ยาว 50 ม,-1.0,-
RM2062509003,ผ้า PVC HY0505-1 ขาว-เทา 7001 กว้าง 2.5ม ยาว 50ม,-1.0,-
RM2062509004,ผ้า Acrylic Solar Nova สีขาวไข่มุก 0002 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062509005,ผ้า Acrylic Solar Nova สีชาร์โคล 0056 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062509006,ผ้า Acrylic Solar Nova สีดำ 0009 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062509007,ผ้า Acrylic Solar Nova สีน้ำตาลไม้ 0021 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062509008,ผ้า Acrylic Solar Nova สีเบจทราย 0064 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062509009,ผ้า Acrylic Solar Nova สีเทาสไตรป์ 0503 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062509010,ผ้า Acrylic Solar Nova สีส้มอิฐ 0221 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062509011,ผ้า Acrylic Solar Nova สีแดงทับทิมสไตรป์ 0491 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062509012,ผ้า Acrylic Solar Nova สีเขียวมรกต 0139 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062509013,ผ้า Acrylic Solar Nova สีฟ้าทะเล 0010 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062509014,ผ้า Acrylic Solar Nova สีมิ้นท์ลายสลับเทาอ่อน 0498 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062509015,ผ้า Acrylic 00594 สีเขียวใบไม้ หน้ากว้าง 1.20 ม.,-1.0,-
RM2062510001,ผ้า Acrylic Sauleda MASACRIL SOLIDS (2296) AVENA หน้ากว้าง 1.20 ม.,-1.0,-
RM7070117001,ผ้า PVC Solar NEON สีขาว หน้ากว้าง 2.50 ม.,-1.0,-
RM7070151001,ผ้า Super PVC T5 สีดำ BK1 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070151002,ผ้า Super PVC T5 สีฟ้า BL1 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070151003,ผ้า Super PVC T5 สีน้ำเงิน BL2 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070151004,ผ้า Super PVC T5 สีน้ำเงินเข้ม BL3 หน้ากว้าง 1.07 ม./ เป็นเศษ ติดม้วน,-1.0,-
RM7070151005,ผ้า Super PVC T5 สีกรมท่า BL4 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070151006,ผ้า Super PVC T5 สีครีม CR1 หน้ากว้าง 1.07 ม.,0.0,-
RM7070151007,ผ้า Super PVC T5 สีเขียวอ่อน GR1 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070151008,ผ้า Super PVC T5 สีเขียว GR2 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070151009,ผ้า Super PVC T5 สีเขียวเข้ม GR3 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070151010,ผ้า Super PVC T5 สีเขียวขี้ม้า OD2 หน้ากว้าง 1.07 ม.,427.7,-
RM7070151011,ผ้า Super PVC T5 สีส้ม OR1 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070151012,ผ้า Super PVC T5 สีแดง RD2 หน้ากว้าง 1.07 ม.,98.0,-
RM7070151013,ผ้า Super PVC T5 สีขาว WH2 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070151014,ผ้า Super PVC T5 สีเหลือง YL2 หน้ากว้าง 1.07 ม.,210.0,-
RM7070151015,ผ้า Super PVC T5 สีน้ำตาล BR2 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070152001,ผ้า PVC HC สีขาว HC-001 หน้ากว้าง 1.13 ม. ม้วนละ90 เมตร,536.45,-
RM7070152002,ผ้า PVC HC สีครีม HC-002 หน้ากว้าง 1.13 ม. ม้วนละ 90 เมตร,510.85,-
RM7070152003,ผ้า PVC HC สีเทา HC-005 หน้ากว้าง 1.13 ม. ม้วนละ 90 เมตร,524.1,-
RM7070152004,ผ้า PVC HC สีเทาอ่อน HC-011 หน้ากว้าง 1.13 ม.,260.65,-
RM7070152005,ผ้า PVC HC สีเหลืองมะนาว HC-012 หน้ากว้าง 1.13 ม.,257.6,-
RM7070152006,ผ้า PVC HC สีแดง HC-016 หน้ากว้าง 1.13 ม.,173.7,-
RM7070152007,ผ้า PVC HC สีเขียวขี้ม้า HC-019 หน้ากว้าง 1.13 ม.,490.4,-
RM7070152008,ผ้า PVC HC สีฟ้าน้ำเงิน HC-041 หน้ากว้าง 1.13 ม.,562.8,-
RM7070152009,ผ้า PVC HC สีชมพู HC-545 หน้ากว้าง 1.13 ม.,167.4,-
RM7070152010,ผ้า PVC HC สีเขียวอ่อน HC-869 หน้ากว้าง 1.13 ม.,1022.0,-
RM7070152011,ผ้า PVC HC สีฟ้าสว่าง HC-870 หน้ากว้าง 1.13 ม.,405.4,-
RM7070152012,ผ้า PVC HC สีม่วงอ่อน HC-298 หน้ากว้าง 1.08 ม.,143.55,-
RM7070152013,ผ้า PVC HC สีส้ม HC-046 หน้ากว้าง 1.13 ม.,270.0,-
RM7070152014,ผ้า PVC HC สีดำ HC-049 หน้ากว้าง 1.13ม.,480.0,-
RM7070152015,ผ้า PVC HC สีเหลือง HC-077 หน้ากว้าง 1.13 ม.,381.9,-
RM7070152016,ผ้า PVC HC สีกรมท่า HC-291 หน้ากว้าง 1.13 ม.,551.73,-
RM7070152017,ผ้า PVC HC สีเขียว HC-701 หน้ากว้าง 1.13 ม.,584.0,-
RM7070152018,ผ้า PVC HC สีม่วงเข้ม HC-398 หน้ากว้าง 1.08 ม.,11.41,-
RM7070152019,ผ้า PVC HC สีน้ำตาลอ่อน HC-000 หน้ากว้าง 1.13 ม,350.6,-
RM7070165001,ผ้า Solar Max สีเหลือง หน้ากว้าง 1.55 ม. SM-077,-1.0,-
RM7070165002,ผ้า Solar Max สีแดง หน้ากว้าง 1.55 ม.,-1.0,-
RM7070167001,ผ้า PVC Solar NEON สีขาว หน้ากว้าง 2.50 ม.,-1.0,-
RM7070167002,ผ้า PVC Solar NEON สีส้ม หน้ากว้าง 1.83 ม.,-1.0,-
RM7070171001,พลาสติกใส ใน หน้ากว้าง 1.37 ม. (36 เมตร/ม้วน),-1.0,-
RM7070208001,ผ้า Solar Max (HANA) Cream 65-026 (580g) หน้ากว้าง 1.55 ม.,-1.0,-
RM7070208002,ผ้า Solar Max (HANA) สีเทา No. 65-025 หน้ากว้าง 1.55 ม.,-1.0,-
RM7070208003,ผ้า Solar Max (HANA) สีแดง No. 65-023 หน้ากว้าง 1.55 ม.,-1.0,-
RM7070208004,ผ้า Solar Max (HANA) สีเขียวแก่ No. 65-022 หน้ากว้าง 1.55 ม.,-1.0,-
RM7070208005,ผ้า Solar Max (HANA) สีเลือดหมู No.065-021 หน้ากว้าง 1.55 ม.,-1.0,-
RM7070208006,ผ้า Solar Max (HANA) สีเหลือง No. 65-024 หน้ากว้าง 1.55 ม.,-1.0,-
RM7070208014,ผ้า Sioen P-7450 สีขาว 9917 หน้ากว้าง 2.18 ม.,-1.0,-
RM7070208030,Kader with 12 mm PVC band (100m.length per roll),-1.0,-
RM7070209001,ผ้า Sioen P-7450 (450g) สีขาว 9917 หน้ากว้าง 2.50 ม.,-1.0,-
RM7070209002,ผ้า Sioen P-7450 สีขาว 9917 หน้ากว้าง 3.20 ม. ยาว 80 ม.,-1.0,-
RM7070209003,ผ้า Sioen P-8103 สีขาว 9909 หน้ากว้าง 2.50 ม.,-1.0,-
RM7070209004,ผ้า Sioen T-1107 (725g) สีขาว 9909 หน้ากว้าง 2.50 ม.,-1.0,-
RM7070209005,ผ้า Sioen B-6101 สีขาว 9002 หน้ากว้าง 2.50 ม.,55.0,-
RM7070209006,ผ้า Sioen B-6000 (900g) สีขาว 9002 หน้ากว้าง 3.00 ม.,37.0,-
RM7070209007,ผ้า Sioen B8288 (800g) สีขาว 9909 หน้ากว้าง 2.50 ม.,28.07,-
RM7070209008,ผ้า Sioen T-2107 (1050g) สีขาว 9909 หน้ากว้าง 2.50 ม.,43.0,-
RM7070209009,ผ้า Sioen T-0107 (650g) สีขาว 9909 หน้ากว้าง 2.50 ม.,92.55,-
RM7070209010,ผ้า Sioen B-9163 สีขาว 9002 หน้ากว้าง 2.50 ม.,-1.0,-
RM7070209011,ผ้า Sioen B-7119 สีส้ม 3018 หน้ากว้าง 3.20 ม.,-1.0,-
RM7070209012,ผ้า Sioen B-7119 (630g) สีเหลือง 1001 หน้ากว้าง 3.20 ม.,60.0,-
RM7070209013,ผ้า Sioen B-6101 สีขาว 9002 หน้ากว้าง 2.18 ม.,-1.0,-
RM7070209015,ผ้า Sioen P-7450 (450g) สีขาว 9917 หน้ากว้าง 3.00 ม. ยาว 50 ม.,-1.0,-
RM7070217001,ผ้า PVC Solar NEON สีขาว หน้ากว้าง 2.50 ม.,-1.0,-
RM7070217002,ผ้า PVC Solar NEON สีขาวสลับสีส้ม หน้ากว้าง 1.55 ม.,-1.0,-
